====================================================================================================
ICML 2024 论文统计分析汇总报告
====================================================================================================

【一、论文类别统计】
====================================================================================================
总论文数: 2609
总类别数: 1

排名     类别                                                 数量         占比        
----------------------------------------------------------------------------------------------------
1                                                         2609       100.00%


【二、论文机构统计】
====================================================================================================
统计模式: 所有机构
总论文数: 2609
总机构数: 1024

排名     机构名称                                                                   论文数        占比        
----------------------------------------------------------------------------------------------------
1      Google                                                                 210          8.05%
2      Tsinghua University                                                    132          5.06%
3      Massachusetts Institute of Technology                                  129          4.94%
4      Carnegie Mellon University                                             109          4.18%
5      Microsoft                                                              107          4.10%
6      Peking University                                                      91           3.49%
7      University of California, Berkeley                                     86           3.30%
8      Meta                                                                   86           3.30%
9      Stanford University                                                    86           3.30%
10     Amazon                                                                 76           2.91%
11     Shanghai Jiao Tong University                                          65           2.49%
12     University of Illinois Urbana-Champaign                                64           2.45%
13     National University of Singapore                                       63           2.41%
14     Zhejiang University                                                    60           2.30%
15     Chinese Academy of Sciences                                            58           2.22%
16     University of Oxford                                                   57           2.18%
17     Korea Advanced Institute of Science and Technology                     55           2.11%
18     Chinese University of Hong Kong                                        53           2.03%
19     New York University                                                    53           2.03%
20     University of California, Los Angeles                                  51           1.95%
21     University of Science and Technology of China                          50           1.92%
22     Harvard University                                                     49           1.88%
23     Nanjing University                                                     48           1.84%
24     ETH Zurich                                                             47           1.80%
25     EPFL                                                                   46           1.76%
26     Hong Kong University of Science and Technology                         45           1.72%
27     University of California, San Diego                                    44           1.69%
28     Huawei                                                                 43           1.65%
29     University of Texas at Austin                                          43           1.65%
30     Princeton University                                                   43           1.65%
31     University of Pennsylvania                                             42           1.61%
32     NVIDIA                                                                 39           1.49%
33     University of Cambridge                                                39           1.49%
34     University of Maryland                                                 35           1.34%
35     Mohamed bin Zayed University of Artificial Intelligence                35           1.34%
36     International Business Machines Corporation                            35           1.34%
37     University of Wisconsin-Madison                                        35           1.34%
38     Cornell University                                                     34           1.30%
39     University of Southern California                                      34           1.30%
40     Technion - Israel Institute of Technology                              33           1.26%
41     Georgia Institute of Technology                                        33           1.26%
42     Nanyang Technological University                                       33           1.26%
43     Columbia University                                                    33           1.26%
44     Alibaba Group                                                          32           1.23%
45     Tencent                                                                32           1.23%
46     University College London                                              27           1.03%
47     University of Washington                                               27           1.03%
48     University of Hong Kong                                                27           1.03%
49     University of Michigan                                                 26           1.00%
50     Purdue University                                                      26           1.00%
51     Yale University                                                        25           0.96%
52     Swiss Federal Institute of Technology                                  25           0.96%
53     University of Tokyo                                                    24           0.92%
54     University of Montreal                                                 24           0.92%
55     Pennsylvania State University                                          24           0.92%
56     California Institute of Technology                                     24           0.92%
57     Fudan University                                                       24           0.92%
58     Johns Hopkins University                                               23           0.88%
59     University of Wisconsin                                                23           0.88%
60     Seoul National University                                              22           0.84%
61     University of Massachusetts Amherst                                    22           0.84%
62     University of Chicago                                                  22           0.84%
63     University of Waterloo                                                 22           0.84%
64     Shanghai AI Laboratory                                                 22           0.84%
65     INRIA                                                                  22           0.84%
66     ByteDance                                                              22           0.84%
67     University of California, Santa Barbara                                22           0.84%
68     University of Toronto                                                  21           0.80%
69     Texas A&M University                                                   21           0.80%
70     IBM                                                                    21           0.80%
71     Swiss Federal Institute of Technology Lausanne                         21           0.80%
72     Imperial College London                                                21           0.80%
73     Apple                                                                  21           0.80%
74     Harbin Institute of Technology                                         20           0.77%
75     McGill University                                                      20           0.77%
76     Renmin University of China                                             19           0.73%
77     Southeast University                                                   19           0.73%
78     City University of Hong Kong                                           19           0.73%
79     University of Chinese Academy of Sciences                              18           0.69%
80     RIKEN                                                                  18           0.69%
81     University of Edinburgh                                                18           0.69%
82     Sun Yat-sen University                                                 18           0.69%
83     University of Sydney                                                   18           0.69%
84     Tianjin University                                                     17           0.65%
85     Adobe                                                                  17           0.65%
86     Beihang University                                                     17           0.65%
87     Tel Aviv University                                                    17           0.65%
88     Xi'an Jiao Tong University                                             17           0.65%
89     Pohang University of Science and Technology                            16           0.61%
90     Wuhan University                                                       16           0.61%
91     Northwestern University                                                16           0.61%
92     Huazhong University of Science and Technology                          16           0.61%
93     Shanghai Artificial Intelligence Laboratory                            16           0.61%
94     University of Amsterdam                                                15           0.57%
95     Duke University                                                        15           0.57%
96     Westlake University                                                    14           0.54%
97     Institute of Science and Technology                                    14           0.54%
98     Hong Kong Polytechnic University                                       14           0.54%
99     Samsung                                                                14           0.54%
100    University of Virginia                                                 14           0.54%
101    Max Planck Institute for Intelligent Systems                           14           0.54%
102    University of Electronic Science and Technology of China               14           0.54%
103    South China University of Technology                                   13           0.50%
104    Vector Institute                                                       13           0.50%
105    Université de Montréal                                                 13           0.50%
106    University of British Columbia                                         13           0.50%
107    King Abdullah University of Science and Technology                     13           0.50%
108    University of Alberta                                                  13           0.50%
109    Allen Institute for Artificial Intelligence                            13           0.50%
110    Singapore University of Technology and Design                          12           0.46%
111    University of North Carolina                                           12           0.46%
112    Xiamen University                                                      12           0.46%
113    CISPA Helmholtz Center for Information Security                        12           0.46%
114    Northeastern University                                                12           0.46%
115    Politecnico di Milano                                                  12           0.46%
116    Southern University of Science and Technology                          12           0.46%
117    Rice University                                                        12           0.46%
118    University of Maryland, College Park                                   11           0.42%
119    Shandong University                                                    11           0.42%
120    Jilin University                                                       11           0.42%
121    Rutgers University                                                     11           0.42%
122    Ludwig-Maximilians-Universität München                                 11           0.42%
123    DeepMind                                                               11           0.42%
124    Arizona State University                                               11           0.42%
125    Michigan State University                                              11           0.42%
126    Eindhoven University of Technology                                     10           0.38%
127    Shanghai University of Finance and Economics                           10           0.38%
128    Ohio State University                                                  10           0.38%
129    Virginia Tech                                                          10           0.38%
130    Rensselaer Polytechnic Institute                                       10           0.38%
131    National University of Defense Technology                              10           0.38%
132    Eberhard Karls University of Tübingen                                  10           0.38%
133    Salesforce                                                             10           0.38%
134    University of Illinois                                                 10           0.38%
135    Boston University                                                      10           0.38%
136    Ecole Polytechnique                                                    9            0.34%
137    Aalto University                                                       9            0.34%
138    Sony                                                                   9            0.34%
139    International Business Machines                                        9            0.34%
140    Quebec Artificial Intelligence Institute                               9            0.34%
141    Saarland University                                                    9            0.34%
142    RWTH Aachen University                                                 9            0.34%
143    Rochester Institute of Technology                                      9            0.34%
144    Korea University                                                       9            0.34%
145    Genentech                                                              9            0.34%
146    JPMorgan Chase & Co.                                                   9            0.34%
147    KTH Royal Institute of Technology                                      9            0.34%
148    State University of New York at Buffalo                                9            0.34%
149    Beijing Institute of Technology                                        9            0.34%
150    University of California, Davis                                        8            0.31%
151    University of Utah                                                     8            0.31%
152    Katholieke Universiteit Leuven                                         8            0.31%
153    Guangdong University of Technology                                     8            0.31%
154    University of Warwick                                                  8            0.31%
155    University of Tuebingen                                                8            0.31%
156    Australian National University                                         8            0.31%
157    Xidian University                                                      8            0.31%
158    Iowa State University                                                  8            0.31%
159    University of Melbourne                                                8            0.31%
160    Technische Universität München                                         8            0.31%
161    Hebrew University of Jerusalem                                         8            0.31%
162    University of Minnesota                                                8            0.31%
163    Ant Group                                                              8            0.31%
164    Brown University                                                       8            0.31%
165    Centre National de la Recherche Scientifique                           7            0.27%
166    Bocconi University                                                     7            0.27%
167    University of Manchester                                               7            0.27%
168    Technische Universität Berlin                                          7            0.27%
169    Singapore Management University                                        7            0.27%
170    Washington University in St. Louis                                     7            0.27%
171    Yonsei University                                                      7            0.27%
172    Sichuan University                                                     7            0.27%
173    Bar-Ilan University                                                    7            0.27%
174    University of Copenhagen                                               7            0.27%
175    Delft University of Technology                                         7            0.27%
176    East China Normal University                                           7            0.27%
177    SenseTime                                                              7            0.27%
178    Ludwig Maximilian University of Munich                                 7            0.27%
179    Intel                                                                  7            0.27%
180    Polytechnic Institute of Milan                                         7            0.27%
181    JD                                                                     7            0.27%
182    Tongji University                                                      7            0.27%
183    Mila                                                                   6            0.23%
184    Unknown Institution                                                    6            0.23%
185    University of Florida                                                  6            0.23%
186    Qualcomm Incorporated                                                  6            0.23%
187    University of Adelaide                                                 6            0.23%
188    University of Georgia                                                  6            0.23%
189    Oregon State University                                                6            0.23%
190    University of Arizona                                                  6            0.23%
191    Max-Planck-Institute for Intelligent Systems                           6            0.23%
192    Ecole Normale Supérieure de Paris                                      6            0.23%
193    University of Notre Dame                                               6            0.23%
194    University of Macau                                                    6            0.23%
195    Dalian University of Technology                                        6            0.23%
196    Sony Corporation                                                       6            0.23%
197    Agency for Science, Technology and Research                            6            0.23%
198    Technische Universität Darmstadt                                       6            0.23%
199    Helmholtz Zentrum München                                              6            0.23%
200    Institute of Science and Technology Austria                            6            0.23%
201    ShanghaiTech University                                                6            0.23%
202    University of Illinois at Chicago                                      6            0.23%
203    Central South University                                               6            0.23%
204    Baidu                                                                  6            0.23%
205    Lehigh University                                                      6            0.23%
206    New Jersey Institute of Technology                                     6            0.23%
207    Broad Institute                                                        6            0.23%
208    Toyota Technological Institute at Chicago                              6            0.23%
209    Heidelberg University                                                  6            0.23%
210    Pengcheng Laboratory                                                   6            0.23%
211    Technical University of Munich                                         5            0.19%
212    University of Connecticut                                              5            0.19%
213    ENSAE ParisTech                                                        5            0.19%
214    University of Queensland                                               5            0.19%
215    Beijing Technology and Business University                             5            0.19%
216    Karlsruher Institut für Technologie                                    5            0.19%
217    KU Leuven                                                              5            0.19%
218    CyberAgent                                                             5            0.19%
219    Clemson University                                                     5            0.19%
220    AstraZeneca                                                            5            0.19%
221    University of Hamburg                                                  5            0.19%
222    Kyushu University                                                      5            0.19%
223    National Taiwan University                                             5            0.19%
224    Flatiron Institute                                                     5            0.19%
225    University of Tübingen                                                 5            0.19%
226    University of Bristol                                                  5            0.19%
227    Institute of Digital Technologies                                      5            0.19%
228    Robert Bosch GmbH                                                      5            0.19%
229    Tokyo Institute of Technology                                          5            0.19%
230    University of North Carolina at Chapel Hill                            5            0.19%
231    Northwestern Polytechnical University                                  5            0.19%
232    Emory University                                                       5            0.19%
233    Skolkovo Institute of Science and Technology                           5            0.19%
234    Beijing University of Posts and Telecommunications                     5            0.19%
235    Moscow Institute of Physics and Technology                             5            0.19%
