====================================================================================================
AAAI 2023 论文统计分析汇总报告
====================================================================================================

【一、论文类别统计】
====================================================================================================
总论文数: 1578
总类别数: 21

排名     类别                                                 数量         占比        
127    Singapore University of Technology and Design                          6            0.38%
128    Megvii Technology                                                      6            0.38%
129    Lehigh University                                                      6            0.38%
130    Imperial College London                                                6            0.38%
131    Pazhou Lab                                                             6            0.38%
132    Sony                                                                   6            0.38%
133    Beijing Normal University                                              6            0.38%
134    University of Illinois at Chicago                                      6            0.38%
135    New York University                                                    6            0.38%
136    TU Wien                                                                6            0.38%
137    State Key Laboratory of Cognitive Intelligence                         6            0.38%
138    Yale University                                                        6            0.38%
139    Rochester Institute of Technology                                      6            0.38%
140    Ben-Gurion University of the Negev                                     6            0.38%
141    Politecnico di Milano                                                  6            0.38%
142    University of California, Irvine                                       6            0.38%
143    NVIDIA                                                                 5            0.32%
144    Hubei Luojia Laboratory                                                5            0.32%
145    Yonsei University                                                      5            0.32%
146    University of Adelaide                                                 5            0.32%
147    Deakin University                                                      5            0.32%
148    Aalto University                                                       5            0.32%
149    Shanghai Engineering Research Center of Intelligent Vision and Imaging 5            0.32%
150    A*STAR                                                                 5            0.32%
151    Guangzhou University                                                   5            0.32%
152    Ohio State University                                                  5            0.32%
153    Shenzhen Institute of Advanced Technology                              5            0.32%
154    Nanjing University of Posts and Telecommunications                     5            0.32%
155    University of Waterloo                                                 5            0.32%
156    University of Wisconsin-Madison                                        5            0.32%
157    Westlake University                                                    5            0.32%
158    University of Pennsylvania                                             5            0.32%
159    EPFL                                                                   5            0.32%
160    George Mason University                                                5            0.32%
161    Iowa State University                                                  5            0.32%
162    McGill University                                                      5            0.32%
163    Cornell University                                                     5            0.32%
164    University of Massachusetts Amherst                                    5            0.32%
165    Huazhong Agricultural University                                       5            0.32%
166    Bar-Ilan University                                                    5            0.32%
167    Indian Institute of Science                                            5            0.32%
168    University of Amsterdam                                                5            0.32%
169    Hasso Plattner Institute                                               5            0.32%
170    Sapienza University of Rome                                            5            0.32%
171    University of Florida                                                  5            0.32%
172    Vector Institute                                                       4            0.25%
173    Ministry of Education                                                  4            0.25%
174    Hanyang University                                                     4            0.25%
175    VinUniversity                                                          4            0.25%
176    Hangzhou Dianzi University                                             4            0.25%
177    National Yang Ming Chiao Tung University                               4            0.25%
178    Guangxi Normal University                                              4            0.25%
179    Meituan                                                                4            0.25%
180    Nankai University                                                      4            0.25%
181    University of Washington                                               4            0.25%
182    University of Trento                                                   4            0.25%
183    Texas A&M University                                                   4            0.25%
184    Independent Researcher                                                 4            0.25%
185    Michigan State University                                              4            0.25%
186    Netease Fuxi AI Lab                                                    4            0.25%
187    Bosch Center for Artificial Intelligence                               4            0.25%
188    Kuaishou Technology                                                    4            0.25%
189    Chongqing University                                                   4            0.25%
190    CISPA Helmholtz Center for Information Security                        4            0.25%
191    Beijing Key Laboratory of Big Data Management and Analysis Methods     4            0.25%
192    INRIA                                                                  4            0.25%
193    Fuzhou University                                                      4            0.25%
194    Northeast Normal University                                            4            0.25%
195    Yunnan University                                                      4            0.25%
196    Northwestern University                                                4            0.25%
197    Brandeis University                                                    4            0.25%
198    Duke University                                                        4            0.25%
199    Worcester Polytechnic Institute                                        4            0.25%
200    University of Chicago                                                  4            0.25%
201    University of Warsaw                                                   4            0.25%
202    Brown University                                                       4            0.25%
203    Technion - Israel Institute of Technology                              4            0.25%
204    University of Bergen                                                   4            0.25%
205    Max Planck Institute for Software Systems                              4            0.25%
206    Czech Technical University in Prague                                   4            0.25%
207    Ecole Polytechnique                                                    4            0.25%
208    Indiana University                                                     4            0.25%
