====================================================================================================
IJCAI 2023 论文统计分析汇总报告
====================================================================================================

【一、论文类别统计】
====================================================================================================
总论文数: 631
总类别数: 15

排名     类别                                                 数量         占比        
----------------------------------------------------------------------------------------------------
1      Machine Learning                                   149         23.61%
2      Computer Vision                                    146         23.14%
3      Data Mining                                        47           7.45%
4      Game Theory and Economic Paradigms                 44           6.97%
5      Agent-based and Multi-agent Systems                40           6.34%
6      Natural Language Processing                        34           5.39%
7      Knowledge Representation and Reasoning             33           5.23%
8      Multidisciplinary Topics and Applications          30           4.75%
9      Constraint Satisfaction and Optimization           22           3.49%
10     AI Ethics, Trust, Fairness                         20           3.17%
11     Planning and Scheduling                            18           2.85%
12     Humans and AI                                      17           2.69%
13     Search                                             17           2.69%
14     Uncertainty in AI                                  11           1.74%
15     Robotics                                           3            0.48%


【二、论文机构统计】
====================================================================================================
统计模式: 所有机构
总论文数: 631
总机构数: 611

排名     机构名称                                                                   论文数        占比        
----------------------------------------------------------------------------------------------------
1      Chinese Academy of Sciences                                            29           4.60%
2      Tsinghua University                                                    29           4.60%
3      Zhejiang University                                                    28           4.44%
4      Shanghai Jiao Tong University                                          21           3.33%
5      Peking University                                                      20           3.17%
6      University of Chinese Academy of Sciences                              18           2.85%
7      University of Science and Technology of China                          17           2.69%
8      Nanyang Technological University                                       16           2.54%
9      Microsoft                                                              14           2.22%
10     Pengcheng Laboratory                                                   14           2.22%
11     Beihang University                                                     14           2.22%
12     Chinese University of Hong Kong                                        14           2.22%
13     Alibaba Group                                                          14           2.22%
14     University of Electronic Science and Technology of China               14           2.22%
15     Carnegie Mellon University                                             13           2.06%
16     Beijing University of Posts and Telecommunications                     13           2.06%
17     Hong Kong University of Science and Technology                         13           2.06%
18     Sun Yat-sen University                                                 12           1.90%
19     Southeast University                                                   12           1.90%
20     University of Virginia                                                 11           1.74%
21     Nanjing University                                                     11           1.74%
22     Wuhan University                                                       11           1.74%
23     IBM                                                                    11           1.74%
24     Jilin University                                                       10           1.58%
25     Fudan University                                                       10           1.58%
26     Tencent                                                                10           1.58%
27     Xi'an Jiao Tong University                                             10           1.58%
28     Huazhong University of Science and Technology                          10           1.58%
29     Harbin Institute of Technology                                         10           1.58%
30     National University of Singapore                                       10           1.58%
31     Zhejiang Lab                                                           9            1.43%
32     Huawei                                                                 9            1.43%
33     Macquarie University                                                   8            1.27%
34     TU Wien                                                                8            1.27%
35     University of Tokyo                                                    7            1.11%
36     University of Oxford                                                   7            1.11%
37     Massachusetts Institute of Technology                                  7            1.11%
38     Beijing Jiao Tong University                                           7            1.11%
39     East China Normal University                                           7            1.11%
40     Northwestern Polytechnical University                                  7            1.11%
41     Shanghai University                                                    7            1.11%
42     University of Technology Sydney                                        6            0.95%
43     University of Sydney                                                   6            0.95%
44     South China University of Technology                                   6            0.95%
45     ShanghaiTech University                                                6            0.95%
46     Xidian University                                                      6            0.95%
47     Beijing Institute of Technology                                        6            0.95%
48     Hasso Plattner Institute                                               6            0.95%
49     University of Maryland                                                 5            0.79%
50     University of Cambridge                                                5            0.79%
51     Monash University                                                      5            0.79%
52     University of Waterloo                                                 5            0.79%
53     University of Illinois Urbana-Champaign                                5            0.79%
54     State Key Laboratory of Cognitive Intelligence                         5            0.79%
55     Baidu                                                                  5            0.79%
56     Southern University of Science and Technology                          5            0.79%
57     Dalian University of Technology                                        5            0.79%
58     Google                                                                 5            0.79%
59     Renmin University of China                                             5            0.79%
60     Ant Group                                                              5            0.79%
61     University of Alberta                                                  5            0.79%
