====================================================================================================
NeurIPS 2025 论文机构统计（所有机构，按出现次数降序）
====================================================================================================

总论文数: 3703
总机构数: 1417

排名     机构名称                                                                   论文数        占比        
151    OpenAI                                                                 12           0.32%
152    Eberhard Karls University of Tübingen                                  12           0.32%
153    ShanghaiTech University                                                12           0.32%
154    State University of New York at Buffalo                                12           0.32%
155    Max Planck Institute for Intelligent Systems                           12           0.32%
156    Nankai University                                                      12           0.32%
157    National Taiwan University                                             12           0.32%
158    Rensselaer Polytechnic Institute                                       12           0.32%
159    Michigan State University                                              12           0.32%
160    Washington University in St. Louis                                     12           0.32%
161    Pengcheng Laboratory                                                   12           0.32%
162    Rice University                                                        12           0.32%
163    TikTok                                                                 11           0.30%
164    University of Minnesota                                                11           0.30%
165    University of Copenhagen                                               11           0.30%
166    University of Surrey                                                   11           0.30%
167    University of California, Davis                                        11           0.30%
168    Weizmann Institute of Science                                          11           0.30%
169    University of Adelaide                                                 11           0.30%
170    Technische Universität Darmstadt                                       11           0.30%
171    Helmholtz Zentrum München                                              11           0.30%
172    Snap Inc.                                                              11           0.30%
173    Xiamen University                                                      11           0.30%
174    Beijing Institute of Technology                                        10           0.27%
175    KTH Royal Institute of Technology                                      10           0.27%
176    Anthropic                                                              10           0.27%
177    Sichuan University                                                     10           0.27%
178    Qualcomm Incorporated                                                  10           0.27%
179    Baidu                                                                  10           0.27%
180    Jilin University                                                       10           0.27%
181    Toyota Research Institute                                              9            0.24%
182    University of Freiburg                                                 9            0.24%
183    Albert-Ludwigs-Universität Freiburg                                    9            0.24%
184    Karlsruhe Institute of Technology                                      9            0.24%
185    Vector Institute                                                       9            0.24%
186    University of Rochester                                                9            0.24%
187    University of Maryland, College Park                                   9            0.24%
188    Toyota Technological Institute at Chicago                              9            0.24%
189    Commonwealth Scientific and Industrial Research Organisation           9            0.24%
190    Centre National de la Recherche Scientifique                           9            0.24%
191    Ludwig Maximilian University of Munich                                 9            0.24%
192    Indian Institute of Technology Bombay                                  9            0.24%
193    Katholieke Universiteit Leuven                                         9            0.24%
194    Technische Universität Berlin                                          9            0.24%
195    Hebrew University of Jerusalem                                         9            0.24%
196    University of Georgia                                                  9            0.24%
197    Saarland University                                                    9            0.24%
198    Beijing Jiao Tong University                                           9            0.24%
199    Dalian University of Technology                                        9            0.24%
200    Tohoku University                                                      8            0.22%
201    Griffith University                                                    8            0.22%
202    Flatiron Institute                                                     8            0.22%
203    Osaka University                                                       8            0.22%
204    Dartmouth College                                                      8            0.22%
205    Singapore University of Technology and Design                          8            0.22%
206    Karlsruher Institut für Technologie                                    8            0.22%
207    Sea AI Lab                                                             8            0.22%
208    University of California, Riverside                                    8            0.22%
209    Institute of Science and Technology                                    8            0.22%
210    NEC Laboratories                                                       8            0.22%
211    National University of Defense Technology                              8            0.22%
212    Scale AI                                                               8            0.22%
213    University of Notre Dame                                               8            0.22%
214    Shenzhen Institute of Advanced Technology                              8            0.22%
215    North Carolina State University                                        8            0.22%
216    StepFun                                                                8            0.22%
217    University of Florida                                                  8            0.22%
218    Sony                                                                   8            0.22%
219    Vanderbilt University                                                  8            0.22%
220    Institute of Statistical Mathematics                                   8            0.22%
221    Xidian University                                                      8            0.22%
222    Sony Group Corporation                                                 8            0.22%
223    Genentech                                                              8            0.22%
224    China Telecom                                                          8            0.22%
225    Aalborg University                                                     8            0.22%
226    Higher School of Economics                                             8            0.22%
227    University of Macau                                                    8            0.22%
228    Moscow Institute of Physics and Technology                             8            0.22%
229    Hunan University                                                       8            0.22%
230    Rochester Institute of Technology                                      8            0.22%
231    Skolkovo Institute of Science and Technology                           8            0.22%
232    ServiceNow                                                             7            0.19%
233    Institute of Science, Tokyo                                            7            0.19%
234    Hong Kong Baptist University                                           7            0.19%
235    Databricks                                                             7            0.19%
236    University of Manchester                                               7            0.19%
237    Emory University                                                       7            0.19%
238    Institute of Science and Technology Austria                            7            0.19%
239    State University of New York                                           7            0.19%
240    Max-Planck-Gesellschaft zur Förderung der Wissenschaften e.V.          7            0.19%
241    Mila                                                                   7            0.19%
242    Nanjing University of Science and Technology                           7            0.19%
243    IBM                                                                    7            0.19%
244    Shandong University                                                    7            0.19%
245    Independent                                                            7            0.19%
246    Hanoi University of Science and Technology                             7            0.19%
247    Bar-Ilan University                                                    7            0.19%
248    LG                                                                     7            0.19%
